"BehaviorSpace results (NetLogo 6.2.1)"
"Attack-vs-giant-component.nlogo"
"evol-ataque"
"03/23/2022 14:17:23:515 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-ataque","num-ataques","tipo-red","num-nodos","[step]","num-comp","max-tam"
"2","aleatorio","50","aleatoria","500","12","22","351"
"5","aleatorio","50","aleatoria","500","26","21","394"
"1","aleatorio","50","aleatoria","500","17","19","434"
"6","aleatorio","50","aleatoria","500","11","14","474"
"3","aleatorio","50","aleatoria","500","8","13","326"
"2","aleatorio","50","aleatoria","500","13","23","349"
"8","aleatorio","50","aleatoria","500","9","9","462"
"4","aleatorio","50","aleatoria","500","17","22","349"
"1","aleatorio","50","aleatoria","500","18","19","433"
"3","aleatorio","50","aleatoria","500","9","14","326"
"6","aleatorio","50","aleatoria","500","12","15","472"
"1","aleatorio","50","aleatoria","500","19","19","432"
"5","aleatorio","50","aleatoria","500","27","21","393"
"8","aleatorio","50","aleatoria","500","10","9","461"
"4","aleatorio","50","aleatoria","500","18","25","344"
"1","aleatorio","50","aleatoria","500","20","19","431"
"6","aleatorio","50","aleatoria","500","13","15","471"
"3","aleatorio","50","aleatoria","500","10","18","257"
"1","aleatorio","50","aleatoria","500","21","19","430"
"2","aleatorio","50","aleatoria","500","14","23","348"
"5","aleatorio","50","aleatoria","500","28","24","389"
"6","aleatorio","50","aleatoria","500","14","15","470"
"3","aleatorio","50","aleatoria","500","11","18","256"
"1","aleatorio","50","aleatoria","500","22","20","424"
"6","aleatorio","50","aleatoria","500","15","17","467"
"8","aleatorio","50","aleatoria","500","11","10","461"
"3","aleatorio","50","aleatoria","500","12","18","255"
"4","aleatorio","50","aleatoria","500","19","29","328"
"5","aleatorio","50","aleatoria","500","29","25","385"
"1","aleatorio","50","aleatoria","500","23","21","424"
"6","aleatorio","50","aleatoria","500","16","17","466"
"1","aleatorio","50","aleatoria","500","24","23","421"
"3","aleatorio","50","aleatoria","500","13","18","254"
"8","aleatorio","50","aleatoria","500","12","13","422"
"5","aleatorio","50","aleatoria","500","30","25","384"
"1","aleatorio","50","aleatoria","500","25","23","420"
"6","aleatorio","50","aleatoria","500","17","17","465"
"4","aleatorio","50","aleatoria","500","20","31","328"
"3","aleatorio","50","aleatoria","500","14","19","254"
"5","aleatorio","50","aleatoria","500","31","26","380"
"1","aleatorio","50","aleatoria","500","26","23","419"
"8","aleatorio","50","aleatoria","500","13","13","421"
"6","aleatorio","50","aleatoria","500","18","20","461"
"3","aleatorio","50","aleatoria","500","15","20","250"
"1","aleatorio","50","aleatoria","500","27","24","417"
"5","aleatorio","50","aleatoria","500","32","27","378"
"4","aleatorio","50","aleatoria","500","21","33","325"
"8","aleatorio","50","aleatoria","500","14","15","418"
"1","aleatorio","50","aleatoria","500","28","25","415"
"6","aleatorio","50","aleatoria","500","19","22","452"
"3","aleatorio","50","aleatoria","500","16","20","250"
"1","aleatorio","50","aleatoria","500","29","26","412"
"5","aleatorio","50","aleatoria","500","33","28","376"
"6","aleatorio","50","aleatoria","500","20","22","451"
"4","aleatorio","50","aleatoria","500","22","34","325"
"8","aleatorio","50","aleatoria","500","15","17","415"
"3","aleatorio","50","aleatoria","500","17","21","247"
"1","aleatorio","50","aleatoria","500","30","30","406"
"5","aleatorio","50","aleatoria","500","34","28","376"
"7","aleatorio","50","aleatoria","500","16","17","454"
"4","aleatorio","50","aleatoria","500","23","34","324"
"8","aleatorio","50","aleatoria","500","16","18","411"
"1","aleatorio","50","aleatoria","500","31","31","404"
"5","aleatorio","50","aleatoria","500","35","27","376"
"1","aleatorio","50","aleatoria","500","32","31","403"
"5","aleatorio","50","aleatoria","500","36","28","376"
"2","aleatorio","50","aleatoria","500","15","23","347"
"1","aleatorio","50","aleatoria","500","33","32","401"
"4","aleatorio","50","aleatoria","500","24","35","322"
"8","aleatorio","50","aleatoria","500","17","18","410"
"1","aleatorio","50","aleatoria","500","34","32","400"
"4","aleatorio","50","aleatoria","500","25","35","321"
"7","aleatorio","50","aleatoria","500","17","17","453"
"1","aleatorio","50","aleatoria","500","35","33","398"
"2","aleatorio","50","aleatoria","500","16","23","346"
"6","aleatorio","50","aleatoria","500","21","26","333"
"4","aleatorio","50","aleatoria","500","26","35","320"
"5","aleatorio","50","aleatoria","500","37","34","189"
"7","aleatorio","50","aleatoria","500","18","17","452"
"1","aleatorio","50","aleatoria","500","36","33","397"
"5","aleatorio","50","aleatoria","500","38","34","188"
"4","aleatorio","50","aleatoria","500","27","35","320"
"7","aleatorio","50","aleatoria","500","19","19","449"
"5","aleatorio","50","aleatoria","500","39","35","186"
"4","aleatorio","50","aleatoria","500","28","35","320"
"1","aleatorio","50","aleatoria","500","37","34","395"
"2","aleatorio","50","aleatoria","500","17","23","345"
"5","aleatorio","50","aleatoria","500","40","37","186"
"6","aleatorio","50","aleatoria","500","22","26","333"
"4","aleatorio","50","aleatoria","500","29","35","320"
"7","aleatorio","50","aleatoria","500","20","19","448"
"5","aleatorio","50","aleatoria","500","41","37","185"
"6","aleatorio","50","aleatoria","500","23","25","333"
"4","aleatorio","50","aleatoria","500","30","37","320"
"2","aleatorio","50","aleatoria","500","18","23","344"
"7","aleatorio","50","aleatoria","500","21","19","447"
"8","aleatorio","50","aleatoria","500","18","18","409"
"5","aleatorio","50","aleatoria","500","42","37","185"
"4","aleatorio","50","aleatoria","500","31","40","320"
"2","aleatorio","50","aleatoria","500","19","26","344"
"8","aleatorio","50","aleatoria","500","19","18","408"
"7","aleatorio","50","aleatoria","500","22","22","443"
"5","aleatorio","50","aleatoria","500","43","40","176"
"4","aleatorio","50","aleatoria","500","32","40","319"
"2","aleatorio","50","aleatoria","500","20","26","344"
"7","aleatorio","50","aleatoria","500","23","22","442"
"2","aleatorio","50","aleatoria","500","21","26","343"
"8","aleatorio","50","aleatoria","500","20","18","407"
"5","aleatorio","50","aleatoria","500","44","40","176"
"4","aleatorio","50","aleatoria","500","33","40","319"
"7","aleatorio","50","aleatoria","500","24","22","441"
"2","aleatorio","50","aleatoria","500","22","25","343"
"5","aleatorio","50","aleatoria","500","45","44","158"
"4","aleatorio","50","aleatoria","500","34","43","319"
