"BehaviorSpace results (NetLogo 6.2.1)"
"DistSocialLegara.nlogo"
"dist-social"
"03/29/2022 16:01:46:531 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","pob-total","porcentaje-distancia-social","num-días","alpha","beta","prob-infección-dist-social","[step]","nuevos-infectados / pob-total"
"8","2000","30","30","40","10","90","17","0.0115"
"4","2000","1","30","40","10","90","19","0"
"3","2000","1","30","40","10","60","19","0"
"2","2000","1","30","40","10","20","11","5.0E-4"
"5","2000","30","30","40","10","0","17","0"
"4","2000","1","30","40","10","90","20","0"
"1","2000","1","30","40","10","0","15","0"
"7","2000","30","30","40","10","60","15","0.001"
"6","2000","30","30","40","10","20","18","0"
"3","2000","1","30","40","10","60","20","0"
"8","2000","30","30","40","10","90","18","0.008"
"7","2000","30","30","40","10","60","16","0"
"1","2000","1","30","40","10","0","16","0"
"8","2000","30","30","40","10","90","19","0.01"
"6","2000","30","30","40","10","20","19","0"
"3","2000","1","30","40","10","60","21","0"
"5","2000","30","30","40","10","0","18","0"
"4","2000","1","30","40","10","90","21","0"
"2","2000","1","30","40","10","20","12","0"
"4","2000","1","30","40","10","90","22","0"
"3","2000","1","30","40","10","60","22","0"
"1","2000","1","30","40","10","0","17","0"
"7","2000","30","30","40","10","60","17","0"
"8","2000","30","30","40","10","90","20","0.0085"
"5","2000","30","30","40","10","0","19","0"
"6","2000","30","30","40","10","20","20","0"
"3","2000","1","30","40","10","60","23","0"
"6","2000","30","30","40","10","20","21","0"
"4","2000","1","30","40","10","90","23","0"
"8","2000","30","30","40","10","90","21","0.007"
"5","2000","30","30","40","10","0","20","0"
"2","2000","1","30","40","10","20","13","0"
"5","2000","30","30","40","10","0","21","0"
"7","2000","30","30","40","10","60","18","0"
"1","2000","1","30","40","10","0","18","0"
"3","2000","1","30","40","10","60","24","0"
"4","2000","1","30","40","10","90","24","5.0E-4"
"6","2000","30","30","40","10","20","22","0"
"8","2000","30","30","40","10","90","22","0.0045"
"3","2000","1","30","40","10","60","25","0"
"1","2000","1","30","40","10","0","19","0"
"4","2000","1","30","40","10","90","25","0"
"7","2000","30","30","40","10","60","19","0"
"2","2000","1","30","40","10","20","14","0"
"8","2000","30","30","40","10","90","23","0.008"
"6","2000","30","30","40","10","20","23","0"
"4","2000","1","30","40","10","90","26","0"
"3","2000","1","30","40","10","60","26","0"
"5","2000","30","30","40","10","0","22","0"
"7","2000","30","30","40","10","60","20","0"
"1","2000","1","30","40","10","0","20","0"
"4","2000","1","30","40","10","90","27","0"
"8","2000","30","30","40","10","90","24","0.003"
"3","2000","1","30","40","10","60","27","0"
"6","2000","30","30","40","10","20","24","0"
"5","2000","30","30","40","10","0","23","0"
"2","2000","1","30","40","10","20","15","0"
"5","2000","30","30","40","10","0","24","0"
"3","2000","1","30","40","10","60","28","0"
"4","2000","1","30","40","10","90","28","0"
"7","2000","30","30","40","10","60","21","5.0E-4"
"1","2000","1","30","40","10","0","21","0"
"6","2000","30","30","40","10","20","25","0"
"8","2000","30","30","40","10","90","25","0.0025"
"1","2000","1","30","40","10","0","22","0"
"5","2000","30","30","40","10","0","25","0"
"4","2000","1","30","40","10","90","29","0"
"3","2000","1","30","40","10","60","29","0"
"6","2000","30","30","40","10","20","26","0"
"2","2000","1","30","40","10","20","16","0"
"7","2000","30","30","40","10","60","22","0"
"8","2000","30","30","40","10","90","26","0.0015"
"1","2000","1","30","40","10","0","23","0"
"5","2000","30","30","40","10","0","26","0"
"4","2000","1","30","40","10","90","30","0"
"3","2000","1","30","40","10","60","30","0"
"6","2000","30","30","40","10","20","27","0"
"1","2000","1","30","40","10","0","24","0"
"8","2000","30","30","40","10","90","27","0.0015"
"2","2000","1","30","40","10","20","17","0"
"7","2000","30","30","40","10","60","23","0"
"1","2000","1","30","40","10","0","25","0"
"5","2000","30","30","40","10","0","27","0"
"8","2000","30","30","40","10","90","28","0.0015"
"6","2000","30","30","40","10","20","28","0"
"5","2000","30","30","40","10","0","28","0"
"7","2000","30","30","40","10","60","24","0"
"8","2000","30","30","40","10","90","29","5.0E-4"
"1","2000","1","30","40","10","0","26","0"
"6","2000","30","30","40","10","20","29","0"
"5","2000","30","30","40","10","0","29","0"
"2","2000","1","30","40","10","20","18","0"
"9","2000","60","30","40","10","0","0","0"
"7","2000","30","30","40","10","60","25","0"
"5","2000","30","30","40","10","0","30","0"
"1","2000","1","30","40","10","0","27","0"
"6","2000","30","30","40","10","20","30","0"
"8","2000","30","30","40","10","90","30","0.0015"
"9","2000","60","30","40","10","0","1","5.0E-4"
"9","2000","60","30","40","10","0","2","0.0025"
"9","2000","60","30","40","10","0","3","0.011"
"9","2000","60","30","40","10","0","4","0.036"
"7","2000","30","30","40","10","60","26","0"
"10","2000","60","30","40","10","20","0","0"
"9","2000","60","30","40","10","0","5","0.0995"
"2","2000","1","30","40","10","20","19","0"
"1","2000","1","30","40","10","0","28","0"
"10","2000","60","30","40","10","20","1","5.0E-4"
"9","2000","60","30","40","10","0","6","0.2325"
"7","2000","30","30","40","10","60","27","0"
"10","2000","60","30","40","10","20","2","0.0035"
"10","2000","60","30","40","10","20","3","0.0135"
"1","2000","1","30","40","10","0","29","0"
"10","2000","60","30","40","10","20","4","0.033"
"7","2000","30","30","40","10","60","28","0"
"10","2000","60","30","40","10","20","5","0.0925"
"2","2000","1","30","40","10","20","20","0"
"9","2000","60","30","40","10","0","7","0.3555"
"1","2000","1","30","40","10","0","30","0"
"7","2000","30","30","40","10","60","29","0"
"10","2000","60","30","40","10","20","6","0.202"
"10","2000","60","30","40","10","20","7","0.3145"
"9","2000","60","30","40","10","0","8","0.215"
"2","2000","1","30","40","10","20","21","0"
"12","2000","60","30","40","10","90","0","0"
"11","2000","60","30","40","10","60","0","0"
"10","2000","60","30","40","10","20","8","0.249"
"7","2000","30","30","40","10","60","30","0"
